CustomerID,Recency,Frequency,Revenue
18074,373,13,489.6000000000001
13747,373,1,79.6
12791,373,2,192.60000000000005
17908,373,58,243.2799999999999
16583,373,14,233.45000000000002
17968,373,85,277.34999999999997
14729,373,71,313.4899999999999
14237,372,9,161.0
15350,372,5,115.65000000000003
15165,372,27,487.74999999999994
17643,372,8,101.55
16274,372,67,357.95
14142,372,22,311.81
13065,372,14,205.86000000000004
18011,372,28,102.79
17732,372,18,303.97
12855,372,3,38.10000000000001
17855,372,17,208.96999999999997
17925,372,1,244.08
13108,372,10,350.06000000000006
15070,372,1,106.2
15923,372,21,127.08000000000001
16752,372,9,207.5
15922,371,12,375.40000000000003
16510,371,13,248.10000000000002
17976,371,65,353.19
17547,371,2,11.800000000000004
13958,371,5,102.45000000000002
16995,371,1,1.25
13011,371,3,50.550000000000004
16754,371,2,2002.4
14576,371,1,35.40000000000001
12738,371,11,155.35
14213,371,5,1192.2000000000003
12686,371,7,89.14
14679,371,1,2.55
17967,371,48,123.07000000000004
14589,371,3,39.75
16926,370,14,230.24999999999997
12725,370,24,427.8
14813,369,30,155.42999999999995
16718,368,45,623.7499999999999
15880,368,106,373.27999999999986
15899,368,4,56.25
18113,368,1,76.32000000000002
17860,368,58,252.79999999999998
16658,367,8,123.24
16138,367,1,7.95
18119,367,30,181.1199999999999
13786,366,7,230.4
15180,366,6,87.5
13807,366,7,112.6
16125,366,13,289.35
14821,366,2,48.80000000000001
12441,366,11,173.55000000000004
16893,366,45,145.92999999999998
15221,365,11,692.4
16679,365,3,129.75
12870,365,2,14.899999999999999
15332,365,35,1661.0600000000002
16858,365,13,405.49000000000007
13270,365,1,590.0
15347,365,5,201.60000000000002
13370,365,44,788.4200000000001
16252,365,21,295.09
14932,365,17,363.53
14355,365,11,174.40000000000003
16065,364,74,372.08999999999986
15945,364,2,181.0
17978,364,12,300.91999999999996
16795,364,66,414.8799999999999
16579,364,1,30.6
16781,364,19,327.85
17456,364,17,249.85999999999999
17307,364,1,152.64
12605,364,3,7.5
17880,364,26,458.9199999999999
14082,364,29,182.24999999999997
